Indicador;Localidad;Ano;Valor
Número de homicidios CICRI;TUNJUELITO;2008;42
Número de hurtos a personas;TUNJUELITO;2008;314
Número de hurtos a vehículos;TUNJUELITO;2008;60
Número de hurto a establecimientos de comercio;TUNJUELITO;2008;84
Número de hurtos a residencias;TUNJUELITO;2008;96
Número de lesiones comunes;TUNJUELITO;2008;400
Número de homicidios CICRI;USAQUÉN;2008;81
Número de hurtos a personas;USAQUÉN;2008;1167
Número de hurtos a vehículos;USAQUÉN;2008;243
Número de hurto a establecimientos de comercio;USAQUÉN;2008;242
Número de hurtos a residencias;USAQUÉN;2008;570
Número de lesiones comunes;USAQUÉN;2008;310
Número de homicidios CICRI;USME;2008;72
Número de hurtos a personas;USME;2008;340
Número de hurtos a vehículos;USME;2008;26
Número de hurto a establecimientos de comercio;USME;2008;109
Número de hurtos a residencias;USME;2008;124
Número de lesiones comunes;USME;2008;712
Número de homicidios CICRI;ANTONIO NARIÑO;2009;20
Número de hurtos a personas;ANTONIO NARIÑO;2009;322
Número de hurtos a vehículos;ANTONIO NARIÑO;2009;143
Número de hurto a establecimientos de comercio;ANTONIO NARIÑO;2009;107
Número de hurtos a residencias;ANTONIO NARIÑO;2009;57
Número de lesiones comunes;ANTONIO NARIÑO;2009;183
Número de homicidios CICRI;BARRIOS UNIDOS;2009;23
Número de hurtos a personas;BARRIOS UNIDOS;2009;695
Número de hurtos a vehículos;BARRIOS UNIDOS;2009;117
Número de hurto a establecimientos de comercio;BARRIOS UNIDOS;2009;305
Número de hurtos a residencias;BARRIOS UNIDOS;2009;196
Número de lesiones comunes;BARRIOS UNIDOS;2009;255
Número de homicidios CICRI;BOSA;2009;97
Número de hurtos a personas;BOSA;2009;767
Número de hurtos a vehículos;BOSA;2009;99
Número de hurto a establecimientos de comercio;BOSA;2009;168
Número de hurtos a residencias;BOSA;2009;234
Número de lesiones comunes;BOSA;2009;796
Número de homicidios CICRI;CHAPINERO;2009;31
Número de hurtos a personas;CHAPINERO;2009;1639
Número de hurtos a vehículos;CHAPINERO;2009;47
Número de hurto a establecimientos de comercio;CHAPINERO;2009;468
Número de hurtos a residencias;CHAPINERO;2009;408
Número de lesiones comunes;CHAPINERO;2009;202
Número de homicidios CICRI;CIUDAD BOLÍVAR;2009;254
Número de hurtos a personas;CIUDAD BOLÍVAR;2009;654
Número de hurtos a vehículos;CIUDAD BOLÍVAR;2009;68
Número de hurto a establecimientos de comercio;CIUDAD BOLÍVAR;2009;164
Número de hurtos a residencias;CIUDAD BOLÍVAR;2009;261
Número de lesiones comunes;CIUDAD BOLÍVAR;2009;1501
Número de homicidios CICRI;ENGATIVÁ;2009;117
Número de hurtos a personas;ENGATIVÁ;2009;1131
Número de hurtos a vehículos;ENGATIVÁ;2009;373
Número de hurto a establecimientos de comercio;ENGATIVÁ;2009;282
Número de hurtos a residencias;ENGATIVÁ;2009;436
Número de lesiones comunes;ENGATIVÁ;2009;538
Número de homicidios CICRI;FONTIBÓN;2009;34
Número de hurtos a personas;FONTIBÓN;2009;958
Número de hurtos a vehículos;FONTIBÓN;2009;92
Número de hurto a establecimientos de comercio;FONTIBÓN;2009;215
Número de hurtos a residencias;FONTIBÓN;2009;234
Número de lesiones comunes;FONTIBÓN;2009;259
Número de homicidios CICRI;KENNEDY;2009;244
Número de hurtos a personas;KENNEDY;2009;1549
Número de hurtos a vehículos;KENNEDY;2009;435
Número de hurto a establecimientos de comercio;KENNEDY;2009;333
Número de hurtos a residencias;KENNEDY;2009;594
Número de lesiones comunes;KENNEDY;2009;1474
Número de homicidios CICRI;LA CANDELARIA;2009;6
Número de hurtos a personas;LA CANDELARIA;2009;282
Número de hurtos a vehículos;LA CANDELARIA;2009;3
Número de hurto a establecimientos de comercio;LA CANDELARIA;2009;54
Número de hurtos a residencias;LA CANDELARIA;2009;35
Número de lesiones comunes;LA CANDELARIA;2009;39
Número de homicidios CICRI;LOS MÁRTIRES;2009;66
Número de hurtos a personas;LOS MÁRTIRES;2009;459
Número de hurtos a vehículos;LOS MÁRTIRES;2009;79
Número de hurto a establecimientos de comercio;LOS MÁRTIRES;2009;80
Número de hurtos a residencias;LOS MÁRTIRES;2009;55
Número de lesiones comunes;LOS MÁRTIRES;2009;240
Número de lesiones comunes;OTROS;2009;16
Número de homicidios CICRI;PUENTE ARANDA;2009;40
Número de hurtos a personas;PUENTE ARANDA;2009;571
Número de hurtos a vehículos;PUENTE ARANDA;2009;350
Número de hurto a establecimientos de comercio;PUENTE ARANDA;2009;152
Número de hurtos a residencias;PUENTE ARANDA;2009;166
