Indicador;Localidad;Ano;Valor
Número de hurto a establecimientos de comercio;FONTIBÓN;2012;315
Número de hurtos a residencias;FONTIBÓN;2012;263
Número de lesiones comunes;FONTIBÓN;2012;553
Número de homicidios CICRI;KENNEDY;2012;203
Número de hurtos a personas;KENNEDY;2012;2308
Número de hurtos a vehículos;KENNEDY;2012;470
Número de hurto a establecimientos de comercio;KENNEDY;2012;639
Número de hurtos a residencias;KENNEDY;2012;574
Número de lesiones comunes;KENNEDY;2012;1666
Número de homicidios CICRI;LA CANDELARIA;2012;0
Número de hurtos a personas;LA CANDELARIA;2012;397
Número de hurtos a vehículos;LA CANDELARIA;2012;2
Número de hurto a establecimientos de comercio;LA CANDELARIA;2012;103
Número de hurtos a residencias;LA CANDELARIA;2012;25
Número de lesiones comunes;LA CANDELARIA;2012;126
Número de homicidios CICRI;LOS MÁRTIRES;2012;51
Número de hurtos a personas;LOS MÁRTIRES;2012;778
Número de hurtos a vehículos;LOS MÁRTIRES;2012;59
Número de hurto a establecimientos de comercio;LOS MÁRTIRES;2012;233
Número de hurtos a residencias;LOS MÁRTIRES;2012;76
Número de lesiones comunes;LOS MÁRTIRES;2012;440
Número de lesiones comunes;OTROS;2012;0
Número de homicidios CICRI;PUENTE ARANDA;2012;20
Número de hurtos a personas;PUENTE ARANDA;2012;807
Número de hurtos a vehículos;PUENTE ARANDA;2012;194
Número de hurto a establecimientos de comercio;PUENTE ARANDA;2012;233
Número de hurtos a residencias;PUENTE ARANDA;2012;94
Número de lesiones comunes;PUENTE ARANDA;2012;416
Número de homicidios CICRI;RAFAEL URIBE URIBE;2012;104
Número de hurtos a personas;RAFAEL URIBE URIBE;2012;761
Número de hurtos a vehículos;RAFAEL URIBE URIBE;2012;120
Número de hurto a establecimientos de comercio;RAFAEL URIBE URIBE;2012;118
Número de hurtos a residencias;RAFAEL URIBE URIBE;2012;147
Número de lesiones comunes;RAFAEL URIBE URIBE;2012;686
Número de homicidios CICRI;SAN CRISTÓBAL;2012;78
Número de hurtos a personas;SAN CRISTÓBAL;2012;558
Número de hurtos a vehículos;SAN CRISTÓBAL;2012;75
Número de hurto a establecimientos de comercio;SAN CRISTÓBAL;2012;175
Número de hurtos a residencias;SAN CRISTÓBAL;2012;185
Número de lesiones comunes;SAN CRISTÓBAL;2012;746
Número de homicidios CICRI;SANTA FE;2012;49
Número de hurtos a personas;SANTA FE;2012;1331
Número de hurtos a vehículos;SANTA FE;2012;11
Número de hurto a establecimientos de comercio;SANTA FE;2012;298
Número de hurtos a residencias;SANTA FE;2012;83
Número de lesiones comunes;SANTA FE;2012;750
Número de homicidios CICRI;SUBA;2012;117
Número de hurtos a personas;SUBA;2012;2206
Número de hurtos a vehículos;SUBA;2012;289
Número de hurto a establecimientos de comercio;SUBA;2012;724
Número de hurtos a residencias;SUBA;2012;1063
Número de lesiones comunes;SUBA;2012;1444
Número de hurtos a personas;SUMAPAZ;2012;0
Número de lesiones comunes;SUMAPAZ;2012;0
Número de homicidios CICRI;TEUSAQUILLO;2012;9
Número de hurtos a personas;TEUSAQUILLO;2012;1071
Número de hurtos a vehículos;TEUSAQUILLO;2012;57
Número de hurto a establecimientos de comercio;TEUSAQUILLO;2012;275
Número de hurtos a residencias;TEUSAQUILLO;2012;187
Número de lesiones comunes;TEUSAQUILLO;2012;312
Número de homicidios CICRI;TUNJUELITO;2012;15
Número de hurtos a personas;TUNJUELITO;2012;504
Número de hurtos a vehículos;TUNJUELITO;2012;72
Número de hurto a establecimientos de comercio;TUNJUELITO;2012;115
Número de hurtos a residencias;TUNJUELITO;2012;75
Número de lesiones comunes;TUNJUELITO;2012;398
Número de homicidios CICRI;USAQUÉN;2012;43
Número de hurtos a personas;USAQUÉN;2012;1672
Número de hurtos a vehículos;USAQUÉN;2012;130
Número de hurto a establecimientos de comercio;USAQUÉN;2012;534
Número de hurtos a residencias;USAQUÉN;2012;611
Número de lesiones comunes;USAQUÉN;2012;640
Número de homicidios CICRI;USME;2012;86
Número de hurtos a personas;USME;2012;590
Número de hurtos a vehículos;USME;2012;52
Número de hurto a establecimientos de comercio;USME;2012;142
Número de hurtos a residencias;USME;2012;155
Número de lesiones comunes;USME;2012;1246
Número de homicidios CICRI;ANTONIO NARIÑO;2013;9
Número de hurtos a personas;ANTONIO NARIÑO;2013;665
Número de hurtos a vehículos;ANTONIO NARIÑO;2013;57
Número de hurto a establecimientos de comercio;ANTONIO NARIÑO;2013;657
Número de hurtos a residencias;ANTONIO NARIÑO;2013;63
Número de lesiones comunes;ANTONIO NARIÑO;2013;266
Número de homicidios CICRI;BARRIOS UNIDOS;2013;10
Número de hurtos a personas;BARRIOS UNIDOS;2013;1230
Número de hurtos a vehículos;BARRIOS UNIDOS;2013;58
Número de hurto a establecimientos de comercio;BARRIOS UNIDOS;2013;190
Número de hurtos a residencias;BARRIOS UNIDOS;2013;108
Número de lesiones comunes;BARRIOS UNIDOS;2013;287
Número de homicidios CICRI;BOSA;2013;138
Número de hurtos a personas;BOSA;2013;1081
Número de hurtos a vehículos;BOSA;2013;72
Número de hurto a establecimientos de comercio;BOSA;2013;266
Número de hurtos a residencias;BOSA;2013;237
Número de lesiones comunes;BOSA;2013;1001
Número de homicidios CICRI;CHAPINERO;2013;12
Número de hurtos a personas;CHAPINERO;2013;2582
Número de hurtos a vehículos;CHAPINERO;2013;53
Número de hurto a establecimientos de comercio;CHAPINERO;2013;537
Número de hurtos a residencias;CHAPINERO;2013;322
Número de lesiones comunes;CHAPINERO;2013;407
Número de homicidios CICRI;CIUDAD BOLÍVAR;2013;242
Número de hurtos a personas;CIUDAD BOLÍVAR;2013;840
Número de hurtos a vehículos;CIUDAD BOLÍVAR;2013;101
Número de hurto a establecimientos de comercio;CIUDAD BOLÍVAR;2013;85
Número de hurtos a residencias;CIUDAD BOLÍVAR;2013;195
Número de lesiones comunes;CIUDAD BOLÍVAR;2013;1405
Número de homicidios CICRI;ENGATIVÁ;2013;68
Número de hurtos a personas;ENGATIVÁ;2013;2148
Número de hurtos a vehículos;ENGATIVÁ;2013;398
Número de hurto a establecimientos de comercio;ENGATIVÁ;2013;728
Número de hurtos a residencias;ENGATIVÁ;2013;229
Número de lesiones comunes;ENGATIVÁ;2013;989
Número de homicidios CICRI;FONTIBÓN;2013;21
Número de hurtos a personas;FONTIBÓN;2013;1685
Número de hurtos a vehículos;FONTIBÓN;2013;112
Número de hurto a establecimientos de comercio;FONTIBÓN;2013;257
Número de hurtos a residencias;FONTIBÓN;2013;159
Número de lesiones comunes;FONTIBÓN;2013;389
Número de homicidios CICRI;KENNEDY;2013;164
Número de hurtos a personas;KENNEDY;2013;2569
Número de hurtos a vehículos;KENNEDY;2013;353
Número de hurto a establecimientos de comercio;KENNEDY;2013;560
Número de hurtos a residencias;KENNEDY;2013;334
Número de lesiones comunes;KENNEDY;2013;1089
Número de homicidios CICRI;LA CANDELARIA;2013;0
Número de hurtos a personas;LA CANDELARIA;2013;591
Número de hurtos a vehículos;LA CANDELARIA;2013;8
Número de hurto a establecimientos de comercio;LA CANDELARIA;2013;78
Número de hurtos a residencias;LA CANDELARIA;2013;18
Número de lesiones comunes;LA CANDELARIA;2013;145
Número de homicidios CICRI;LOS MÁRTIRES;2013;45
Número de hurtos a personas;LOS MÁRTIRES;2013;985
Número de hurtos a vehículos;LOS MÁRTIRES;2013;44
Número de hurto a establecimientos de comercio;LOS MÁRTIRES;2013;206
Número de hurtos a residencias;LOS MÁRTIRES;2013;47
Número de lesiones comunes;LOS MÁRTIRES;2013;370
Número de lesiones comunes;OTROS;2013;0
Número de homicidios CICRI;PUENTE ARANDA;2013;33
Número de hurtos a personas;PUENTE ARANDA;2013;982
Número de hurtos a vehículos;PUENTE ARANDA;2013;201
Número de hurto a establecimientos de comercio;PUENTE ARANDA;2013;221
Número de hurtos a residencias;PUENTE ARANDA;2013;67
Número de lesiones comunes;PUENTE ARANDA;2013;308
Número de homicidios CICRI;RAFAEL URIBE URIBE;2013;108
Número de hurtos a personas;RAFAEL URIBE URIBE;2013;1080
Número de hurtos a vehículos;RAFAEL URIBE URIBE;2013;114
Número de hurto a establecimientos de comercio;RAFAEL URIBE URIBE;2013;117
Número de hurtos a residencias;RAFAEL URIBE URIBE;2013;163
Número de lesiones comunes;RAFAEL URIBE URIBE;2013;609
Número de homicidios CICRI;SAN CRISTÓBAL;2013;70
Número de hurtos a personas;SAN CRISTÓBAL;2013;812
Número de hurtos a vehículos;SAN CRISTÓBAL;2013;84
Número de hurto a establecimientos de comercio;SAN CRISTÓBAL;2013;147
Número de hurtos a residencias;SAN CRISTÓBAL;2013;167
Número de lesiones comunes;SAN CRISTÓBAL;2013;697
Número de homicidios CICRI;SANTA FE;2013;56
Número de hurtos a personas;SANTA FE;2013;1884
Número de hurtos a vehículos;SANTA FE;2013;19
Número de hurto a establecimientos de comercio;SANTA FE;2013;446
Número de hurtos a residencias;SANTA FE;2013;72
Número de lesiones comunes;SANTA FE;2013;508
Número de homicidios CICRI;SUBA;2013;100
Número de hurtos a personas;SUBA;2013;2603
Número de hurtos a vehículos;SUBA;2013;233
Número de hurto a establecimientos de comercio;SUBA;2013;825
Número de hurtos a residencias;SUBA;2013;1096
Número de lesiones comunes;SUBA;2013;1468
Número de hurtos a personas;SUMAPAZ;2013;0
Número de lesiones comunes;SUMAPAZ;2013;0
Número de homicidios CICRI;TEUSAQUILLO;2013;10
Número de hurtos a personas;TEUSAQUILLO;2013;1796
Número de hurtos a vehículos;TEUSAQUILLO;2013;86
Número de hurto a establecimientos de comercio;TEUSAQUILLO;2013;393
Número de hurtos a residencias;TEUSAQUILLO;2013;175
Número de lesiones comunes;TEUSAQUILLO;2013;384
Número de homicidios CICRI;TUNJUELITO;2013;33
Número de hurtos a personas;TUNJUELITO;2013;615
Número de hurtos a vehículos;TUNJUELITO;2013;63
Número de hurto a establecimientos de comercio;TUNJUELITO;2013;125
Número de hurtos a residencias;TUNJUELITO;2013;93
Número de lesiones comunes;TUNJUELITO;2013;370
Número de homicidios CICRI;USAQUÉN;2013;61
Número de hurtos a personas;USAQUÉN;2013;2171
Número de hurtos a vehículos;USAQUÉN;2013;113
Número de hurto a establecimientos de comercio;USAQUÉN;2013;704
Número de hurtos a residencias;USAQUÉN;2013;726
Número de lesiones comunes;USAQUÉN;2013;652
Número de homicidios CICRI;USME;2013;84
Número de hurtos a personas;USME;2013;599
Número de hurtos a vehículos;USME;2013;62
Número de hurto a establecimientos de comercio;USME;2013;85
Número de hurtos a residencias;USME;2013;126
Número de lesiones comunes;USME;2013;784
Número de homicidios CICRI;ANTONIO NARIÑO;2014;19
Número de hurtos a personas;ANTONIO NARIÑO;2014;580
Número de hurtos a vehículos;ANTONIO NARIÑO;2014;87
Número de hurto a establecimientos de comercio;ANTONIO NARIÑO;2014;462
Número de hurtos a residencias;ANTONIO NARIÑO;2014;54
Número de lesiones comunes;ANTONIO NARIÑO;2014;256
Número de homicidios CICRI;BARRIOS UNIDOS;2014;13
Número de hurtos a personas;BARRIOS UNIDOS;2014;1269
Número de hurtos a vehículos;BARRIOS UNIDOS;2014;69
Número de hurto a establecimientos de comercio;BARRIOS UNIDOS;2014;175
Número de hurtos a residencias;BARRIOS UNIDOS;2014;148
Número de lesiones comunes;BARRIOS UNIDOS;2014;370
Número de homicidios CICRI;BOSA;2014;124
Número de hurtos a personas;BOSA;2014;989
Número de hurtos a vehículos;BOSA;2014;99
Número de hurto a establecimientos de comercio;BOSA;2014;180
Número de hurtos a residencias;BOSA;2014;244
Número de lesiones comunes;BOSA;2014;989
Número de homicidios CICRI;CHAPINERO;2014;9
Número de hurtos a personas;CHAPINERO;2014;2871
Número de hurtos a vehículos;CHAPINERO;2014;50
Número de hurto a establecimientos de comercio;CHAPINERO;2014;507
Número de hurtos a residencias;CHAPINERO;2014;312
Número de lesiones comunes;CHAPINERO;2014;434
Número de homicidios CICRI;CIUDAD BOLÍVAR;2014;258
Número de hurtos a personas;CIUDAD BOLÍVAR;2014;732
Número de hurtos a vehículos;CIUDAD BOLÍVAR;2014;139
Número de hurto a establecimientos de comercio;CIUDAD BOLÍVAR;2014;84
Número de hurtos a residencias;CIUDAD BOLÍVAR;2014;179
Número de lesiones comunes;CIUDAD BOLÍVAR;2014;1429
Número de homicidios CICRI;ENGATIVÁ;2014;63
Número de hurtos a personas;ENGATIVÁ;2014;2003
Número de hurtos a vehículos;ENGATIVÁ;2014;280
Número de hurto a establecimientos de comercio;ENGATIVÁ;2014;614
Número de hurtos a residencias;ENGATIVÁ;2014;375
Número de lesiones comunes;ENGATIVÁ;2014;819
Número de homicidios CICRI;FONTIBÓN;2014;27
Número de hurtos a personas;FONTIBÓN;2014;1573
Número de hurtos a vehículos;FONTIBÓN;2014;101
Número de hurto a establecimientos de comercio;FONTIBÓN;2014;216
Número de hurtos a residencias;FONTIBÓN;2014;178
Número de lesiones comunes;FONTIBÓN;2014;437
Número de homicidios CICRI;KENNEDY;2014;153
Número de hurtos a personas;KENNEDY;2014;2736
Número de hurtos a vehículos;KENNEDY;2014;420
Número de hurto a establecimientos de comercio;KENNEDY;2014;373
Número de hurtos a residencias;KENNEDY;2014;409
Número de lesiones comunes;KENNEDY;2014;1253
Número de homicidios CICRI;LA CANDELARIA;2014;8
Número de hurtos a personas;LA CANDELARIA;2014;681
Número de hurtos a vehículos;LA CANDELARIA;2014;6
Número de hurto a establecimientos de comercio;LA CANDELARIA;2014;69
Número de hurtos a residencias;LA CANDELARIA;2014;16
Número de lesiones comunes;LA CANDELARIA;2014;167
Número de homicidios CICRI;LOS MÁRTIRES;2014;65
Número de hurtos a personas;LOS MÁRTIRES;2014;1233
Número de hurtos a vehículos;LOS MÁRTIRES;2014;66
Número de hurto a establecimientos de comercio;LOS MÁRTIRES;2014;368
Número de hurtos a residencias;LOS MÁRTIRES;2014;91
Número de lesiones comunes;LOS MÁRTIRES;2014;553
Número de lesiones comunes;OTROS;2014;0
Número de homicidios CICRI;PUENTE ARANDA;2014;26
Número de hurtos a personas;PUENTE ARANDA;2014;1281
Número de hurtos a vehículos;PUENTE ARANDA;2014;207
Número de hurto a establecimientos de comercio;PUENTE ARANDA;2014;548
Número de hurtos a residencias;PUENTE ARANDA;2014;117
Número de lesiones comunes;PUENTE ARANDA;2014;496
Número de homicidios CICRI;RAFAEL URIBE URIBE;2014;88
Número de hurtos a personas;RAFAEL URIBE URIBE;2014;1088
Número de hurtos a vehículos;RAFAEL URIBE URIBE;2014;129
Número de hurto a establecimientos de comercio;RAFAEL URIBE URIBE;2014;142
Número de hurtos a residencias;RAFAEL URIBE URIBE;2014;186
Número de lesiones comunes;RAFAEL URIBE URIBE;2014;763
Número de homicidios CICRI;SAN CRISTÓBAL;2014;106
Número de hurtos a personas;SAN CRISTÓBAL;2014;802
Número de hurtos a vehículos;SAN CRISTÓBAL;2014;100
Número de hurto a establecimientos de comercio;SAN CRISTÓBAL;2014;188
Número de hurtos a residencias;SAN CRISTÓBAL;2014;180
Número de lesiones comunes;SAN CRISTÓBAL;2014;631
Número de homicidios CICRI;SANTA FE;2014;71
Número de hurtos a personas;SANTA FE;2014;2228
Número de hurtos a vehículos;SANTA FE;2014;36
Número de hurto a establecimientos de comercio;SANTA FE;2014;484
Número de hurtos a residencias;SANTA FE;2014;61
Número de lesiones comunes;SANTA FE;2014;655
Número de homicidios CICRI;SUBA;2014;112
Número de hurtos a personas;SUBA;2014;2966
Número de hurtos a vehículos;SUBA;2014;209
Número de hurto a establecimientos de comercio;SUBA;2014;686
Número de hurtos a residencias;SUBA;2014;1093
Número de lesiones comunes;SUBA;2014;1442
Número de hurtos a personas;SUMAPAZ;2014;0
Número de lesiones comunes;SUMAPAZ;2014;1
Número de homicidios CICRI;TEUSAQUILLO;2014;6
Número de hurtos a personas;TEUSAQUILLO;2014;1794
Número de hurtos a vehículos;TEUSAQUILLO;2014;74
Número de hurto a establecimientos de comercio;TEUSAQUILLO;2014;415
Número de hurtos a residencias;TEUSAQUILLO;2014;199
Número de lesiones comunes;TEUSAQUILLO;2014;305
Número de homicidios CICRI;TUNJUELITO;2014;26
Número de hurtos a personas;TUNJUELITO;2014;598
Número de hurtos a vehículos;TUNJUELITO;2014;66
Número de hurto a establecimientos de comercio;TUNJUELITO;2014;99
Número de hurtos a residencias;TUNJUELITO;2014;99
Número de lesiones comunes;TUNJUELITO;2014;378
Número de homicidios CICRI;USAQUÉN;2014;54
Número de hurtos a personas;USAQUÉN;2014;2149
Número de hurtos a vehículos;USAQUÉN;2014;104
Número de hurto a establecimientos de comercio;USAQUÉN;2014;621
Número de hurtos a residencias;USAQUÉN;2014;756
Número de lesiones comunes;USAQUÉN;2014;670
Número de homicidios CICRI;USME;2014;101
Número de hurtos a personas;USME;2014;551
Número de hurtos a vehículos;USME;2014;53
Número de hurto a establecimientos de comercio;USME;2014;91
Número de hurtos a residencias;USME;2014;162
Número de lesiones comunes;USME;2014;672
Número de homicidios CICRI;ANTONIO NARIÑO;2015;17
Número de hurtos a personas;ANTONIO NARIÑO;2015;524
Número de hurtos a vehículos;ANTONIO NARIÑO;2015;66
Número de hurto a establecimientos de comercio;ANTONIO NARIÑO;2015;444
Número de hurtos a residencias;ANTONIO NARIÑO;2015;48
Número de lesiones comunes;ANTONIO NARIÑO;2015;282
Número de homicidios CICRI;BARRIOS UNIDOS;2015;10
Número de hurtos a personas;BARRIOS UNIDOS;2015;1272
Número de hurtos a vehículos;BARRIOS UNIDOS;2015;52
Número de hurto a establecimientos de comercio;BARRIOS UNIDOS;2015;137
Número de hurtos a residencias;BARRIOS UNIDOS;2015;64
Número de lesiones comunes;BARRIOS UNIDOS;2015;353
Número de homicidios CICRI;BOSA;2015;131
Número de hurtos a personas;BOSA;2015;1036
Número de hurtos a vehículos;BOSA;2015;85
Número de hurto a establecimientos de comercio;BOSA;2015;164
Número de hurtos a residencias;BOSA;2015;242
Número de lesiones comunes;BOSA;2015;1066
Número de homicidios CICRI;CHAPINERO;2015;11
Número de hurtos a personas;CHAPINERO;2015;3073
Número de hurtos a vehículos;CHAPINERO;2015;18
Número de hurto a establecimientos de comercio;CHAPINERO;2015;515
Número de hurtos a residencias;CHAPINERO;2015;269
Número de lesiones comunes;CHAPINERO;2015;399
Número de homicidios CICRI;CIUDAD BOLÍVAR;2015;266
Número de hurtos a personas;CIUDAD BOLÍVAR;2015;829
Número de hurtos a vehículos;CIUDAD BOLÍVAR;2015;148
Número de hurto a establecimientos de comercio;CIUDAD BOLÍVAR;2015;93
Número de hurtos a residencias;CIUDAD BOLÍVAR;2015;194
Número de lesiones comunes;CIUDAD BOLÍVAR;2015;1410
Número de homicidios CICRI;ENGATIVÁ;2015;70
Número de hurtos a personas;ENGATIVÁ;2015;1783
Número de hurtos a vehículos;ENGATIVÁ;2015;290
Número de hurto a establecimientos de comercio;ENGATIVÁ;2015;663
Número de hurtos a residencias;ENGATIVÁ;2015;142
Número de lesiones comunes;ENGATIVÁ;2015;921
Número de homicidios CICRI;FONTIBÓN;2015;18
Número de hurtos a personas;FONTIBÓN;2015;1591
Número de hurtos a vehículos;FONTIBÓN;2015;113
Número de hurto a establecimientos de comercio;FONTIBÓN;2015;247
Número de hurtos a residencias;FONTIBÓN;2015;89
Número de lesiones comunes;FONTIBÓN;2015;559
Número de homicidios CICRI;KENNEDY;2015;152
Número de hurtos a personas;KENNEDY;2015;2767
Número de hurtos a vehículos;KENNEDY;2015;510
Número de hurto a establecimientos de comercio;KENNEDY;2015;453
Número de hurtos a residencias;KENNEDY;2015;389
Número de lesiones comunes;KENNEDY;2015;1426
Número de homicidios CICRI;LA CANDELARIA;2015;4
Número de hurtos a personas;LA CANDELARIA;2015;482
Número de hurtos a vehículos;LA CANDELARIA;2015;2
Número de hurto a establecimientos de comercio;LA CANDELARIA;2015;26
Número de hurtos a residencias;LA CANDELARIA;2015;11
Número de lesiones comunes;LA CANDELARIA;2015;127
Número de homicidios CICRI;LOS MÁRTIRES;2015;77
Número de hurtos a personas;LOS MÁRTIRES;2015;1142
Número de hurtos a vehículos;LOS MÁRTIRES;2015;35
Número de hurto a establecimientos de comercio;LOS MÁRTIRES;2015;279
Número de hurtos a residencias;LOS MÁRTIRES;2015;39
Número de lesiones comunes;LOS MÁRTIRES;2015;486
Número de lesiones comunes;OTROS;2015;0
Número de homicidios CICRI;PUENTE ARANDA;2015;22
Número de hurtos a personas;PUENTE ARANDA;2015;1055
Número de hurtos a vehículos;PUENTE ARANDA;2015;237
Número de hurto a establecimientos de comercio;PUENTE ARANDA;2015;376
Número de hurtos a residencias;PUENTE ARANDA;2015;41
Número de lesiones comunes;PUENTE ARANDA;2015;529
Número de homicidios CICRI;RAFAEL URIBE URIBE;2015;104
Número de hurtos a personas;RAFAEL URIBE URIBE;2015;1139
Número de hurtos a vehículos;RAFAEL URIBE URIBE;2015;114
Número de hurto a establecimientos de comercio;RAFAEL URIBE URIBE;2015;145
Número de hurtos a residencias;RAFAEL URIBE URIBE;2015;101
Número de lesiones comunes;RAFAEL URIBE URIBE;2015;838
Número de homicidios CICRI;SAN CRISTÓBAL;2015;90
Número de hurtos a personas;SAN CRISTÓBAL;2015;934
Número de hurtos a vehículos;SAN CRISTÓBAL;2015;124
Número de hurto a establecimientos de comercio;SAN CRISTÓBAL;2015;164
Número de hurtos a residencias;SAN CRISTÓBAL;2015;165
Número de lesiones comunes;SAN CRISTÓBAL;2015;807
Número de homicidios CICRI;SANTA FE;2015;59
Número de hurtos a personas;SANTA FE;2015;1909
Número de hurtos a vehículos;SANTA FE;2015;10
Número de hurto a establecimientos de comercio;SANTA FE;2015;264
Número de hurtos a residencias;SANTA FE;2015;48
Número de lesiones comunes;SANTA FE;2015;642
Número de homicidios CICRI;SUBA;2015;93
Número de hurtos a personas;SUBA;2015;2673
Número de hurtos a vehículos;SUBA;2015;180
Número de hurto a establecimientos de comercio;SUBA;2015;751
Número de hurtos a residencias;SUBA;2015;816
Número de lesiones comunes;SUBA;2015;1409
Número de hurtos a personas;SUMAPAZ;2015;2
Número de lesiones comunes;SUMAPAZ;2015;14
Número de homicidios CICRI;TEUSAQUILLO;2015;9
Número de hurtos a personas;TEUSAQUILLO;2015;1804
Número de hurtos a vehículos;TEUSAQUILLO;2015;71
Número de hurto a establecimientos de comercio;TEUSAQUILLO;2015;460
Número de hurtos a residencias;TEUSAQUILLO;2015;115
Número de lesiones comunes;TEUSAQUILLO;2015;313
Número de homicidios CICRI;TUNJUELITO;2015;46
Número de hurtos a personas;TUNJUELITO;2015;709
Número de hurtos a vehículos;TUNJUELITO;2015;81
Número de hurto a establecimientos de comercio;TUNJUELITO;2015;128
Número de hurtos a residencias;TUNJUELITO;2015;83
Número de lesiones comunes;TUNJUELITO;2015;374
Número de homicidios CICRI;USAQUÉN;2015;39
Número de hurtos a personas;USAQUÉN;2015;2227
Número de hurtos a vehículos;USAQUÉN;2015;60
Número de hurto a establecimientos de comercio;USAQUÉN;2015;460
Número de hurtos a residencias;USAQUÉN;2015;547
Número de lesiones comunes;USAQUÉN;2015;591
Número de homicidios CICRI;USME;2015;123
Número de hurtos a personas;USME;2015;613
Número de hurtos a vehículos;USME;2015;100
Número de hurto a establecimientos de comercio;USME;2015;152
Número de hurtos a residencias;USME;2015;228
Número de lesiones comunes;USME;2015;800
Número de homicidios CICRI;ANTONIO NARIÑO;2016;23
Número de hurtos a personas;ANTONIO NARIÑO;2016;909
Número de hurtos a vehículos;ANTONIO NARIÑO;2016;78
Número de hurto a establecimientos de comercio;ANTONIO NARIÑO;2016;381
Número de hurtos a residencias;ANTONIO NARIÑO;2016;46
Número de lesiones comunes;ANTONIO NARIÑO;2016;398
Número de homicidios CICRI;BARRIOS UNIDOS;2016;11
Número de hurtos a personas;BARRIOS UNIDOS;2016;1686
Número de hurtos a vehículos;BARRIOS UNIDOS;2016;62
Número de hurto a establecimientos de comercio;BARRIOS UNIDOS;2016;126
Número de hurtos a residencias;BARRIOS UNIDOS;2016;78
Número de lesiones comunes;BARRIOS UNIDOS;2016;678
Número de homicidios CICRI;BOSA;2016;125
Número de hurtos a personas;BOSA;2016;1591
Número de hurtos a vehículos;BOSA;2016;103
Número de hurto a establecimientos de comercio;BOSA;2016;131
Número de hurtos a residencias;BOSA;2016;246
Número de lesiones comunes;BOSA;2016;1795
Número de homicidios CICRI;CHAPINERO;2016;8
Número de hurtos a personas;CHAPINERO;2016;3163
Número de hurtos a vehículos;CHAPINERO;2016;25
Número de hurto a establecimientos de comercio;CHAPINERO;2016;270
Número de hurtos a residencias;CHAPINERO;2016;231
Número de lesiones comunes;CHAPINERO;2016;659
Número de homicidios CICRI;CIUDAD BOLÍVAR;2016;244
Número de hurtos a personas;CIUDAD BOLÍVAR;2016;1091
Número de hurtos a vehículos;CIUDAD BOLÍVAR;2016;126
Número de hurto a establecimientos de comercio;CIUDAD BOLÍVAR;2016;64
Número de hurtos a residencias;CIUDAD BOLÍVAR;2016;167
Número de lesiones comunes;CIUDAD BOLÍVAR;2016;1780
Número de homicidios CICRI;ENGATIVÁ;2016;55
Número de hurtos a personas;ENGATIVÁ;2016;3421
Número de hurtos a vehículos;ENGATIVÁ;2016;335
Número de hurto a establecimientos de comercio;ENGATIVÁ;2016;621
Número de hurtos a residencias;ENGATIVÁ;2016;100
Número de lesiones comunes;ENGATIVÁ;2016;1940
Número de homicidios CICRI;FONTIBÓN;2016;24
Número de hurtos a personas;FONTIBÓN;2016;2189
Número de hurtos a vehículos;FONTIBÓN;2016;81
Número de hurto a establecimientos de comercio;FONTIBÓN;2016;274
Número de hurtos a residencias;FONTIBÓN;2016;93
Número de lesiones comunes;FONTIBÓN;2016;834
Número de homicidios CICRI;KENNEDY;2016;154
Número de hurtos a personas;KENNEDY;2016;4298
Número de hurtos a vehículos;KENNEDY;2016;702
Número de hurto a establecimientos de comercio;KENNEDY;2016;441
Número de hurtos a residencias;KENNEDY;2016;524
Número de lesiones comunes;KENNEDY;2016;2459
Número de homicidios CICRI;LA CANDELARIA;2016;3
Número de hurtos a personas;LA CANDELARIA;2016;500
Número de hurtos a vehículos;LA CANDELARIA;2016;4
Número de hurto a establecimientos de comercio;LA CANDELARIA;2016;24
Número de hurtos a residencias;LA CANDELARIA;2016;11
Número de lesiones comunes;LA CANDELARIA;2016;174
Número de homicidios CICRI;LOS MÁRTIRES;2016;51
Número de hurtos a personas;LOS MÁRTIRES;2016;1393
Número de hurtos a vehículos;LOS MÁRTIRES;2016;48
Número de hurto a establecimientos de comercio;LOS MÁRTIRES;2016;129
Número de hurtos a residencias;LOS MÁRTIRES;2016;35
Número de lesiones comunes;LOS MÁRTIRES;2016;664
Número de lesiones comunes;OTROS;2016;0
Número de homicidios CICRI;PUENTE ARANDA;2016;28
Número de hurtos a personas;PUENTE ARANDA;2016;1573
Número de hurtos a vehículos;PUENTE ARANDA;2016;280
Número de hurto a establecimientos de comercio;PUENTE ARANDA;2016;146
Número de hurtos a residencias;PUENTE ARANDA;2016;46
Número de lesiones comunes;PUENTE ARANDA;2016;667
Número de homicidios CICRI;RAFAEL URIBE URIBE;2016;100
Número de hurtos a personas;RAFAEL URIBE URIBE;2016;1816
Número de hurtos a vehículos;RAFAEL URIBE URIBE;2016;148
Número de hurto a establecimientos de comercio;RAFAEL URIBE URIBE;2016;110
Número de hurtos a residencias;RAFAEL URIBE URIBE;2016;174
Número de lesiones comunes;RAFAEL URIBE URIBE;2016;1362
Número de homicidios CICRI;SAN CRISTÓBAL;2016;96
Número de hurtos a personas;SAN CRISTÓBAL;2016;1210
Número de hurtos a vehículos;SAN CRISTÓBAL;2016;115
Número de hurto a establecimientos de comercio;SAN CRISTÓBAL;2016;97
Número de hurtos a residencias;SAN CRISTÓBAL;2016;151
Número de lesiones comunes;SAN CRISTÓBAL;2016;1297
